term	reading	rank	meaning
まんま	マンマ	6985	as (it is); remaining (in a state); keeping (the same); leaving (unchanged)
おつもり	オツモリ	6986	
分かりやすい	ワカリヤスイ	6987	
できる限り	デキルカギリ	6988	
ひそか	ヒソカ	6989	secret; private; surreptitious
手当て	テアテ	6990	salary; pay; compensation; allowance (e.g. housing allowance); benefit; bonus
しでかす	シデカス	6991	
たまえ	タマエ	6992	
見込み	ミコミ	6993	hope; promise; possibility; chance; probability; likelihood
くわえる	クワエル	6994	to add; to add up; to sum up; to append; to annex
きたる	キタル	6995	
とまる	トマル	6996	to stop (moving); to come to a stop
ところどころ	トコロドコロ	6997	here and there; in places
方がよい	ホウガヨイ	6998	had better ...
いいって言う	イイッテイウ	6999	
大きめ	オオキメ	7000	
真に	マコトニ	7002	really; truly; very; extremely; exceedingly; sincerely
まれ	マレ	7003	rare; seldom
時間の問題	ジカンノモンダイ	7004	
この頃	コノゴロ	7005	these days; nowadays; now; at present; recently; lately
一息	ヒトイキ	7006	one breath
お世話	オセワ	7007	
毎日のように	マイニチノヨウニ	7008	almost every day; almost daily
補充	ホジュウ	7009	replenishment; supplementation; supplement; replacement; refilling
嗚咽	オエツ	7010	
来	ライ	7011	next (year, spring, etc.); coming
諭す	サトス	7012	to make (someone) understand (a fault, mistake, etc.); to reason with; to advise; to try to persuade; to exhort; to admonish; to warn (against doing)
甲斐	カイ	7013	result (that makes an act worthwhile); worth (in doing something); value; effect; use; benefit; avail
敬意	ケイイ	7014	respect; honour; honor
津	ツ	7015	
疑念	ギネン	7016	doubt; suspicion; misgivings; scruples
七十	シチジュウ	7017	seventy; 70
善	ゼン	7018	good; goodness; right; virtue
沸く	ワク	7019	to grow hot (e.g. water); to boil
階級	カイキュウ	7020	(social) class
合計	ゴウケイ	7021	sum total; total amount
数少ない	カズスクナイ	7022	few in number
問い詰める	トイツメル	7023	
同等	ドウトウ	7024	equality; equal; same rights; same rank; equivalence
闘う	タタカウ	7025	to make war (on); to wage war (against); to go to war (with); to fight (with); to do battle (against)
観光	カンコウ	7026	sightseeing; tourism
世界一	セカイイチ	7027	best in the world
奥深い	オクフカイ	7028	
節	フシ	7029	joint; knuckle
踊り	オドリ	7030	dance
学問	ガクモン	7031	study; scholarship; learning; education; knowledge
生活を送る	セイカツヲオクル	7032	
抜群	バツグン	7033	outstanding; excellent; exceptional; distinguished; unrivaled; surpassing (e.g. beauty); beyond compare
距離を置く	キョリヲオク	7034	
下品	ゲヒン	7035	vulgar; indecent; coarse; crude
危険性	キケンセイ	7036	(degree of) risk; riskiness; danger
細長い	ホソナガイ	7037	long and narrow
定番	テイバン	7038	standard item; usual thing; (a) classic; go-to choice; staple; regular fixture; standard procedure; convention
痕	アト	7039	trace; tracks; mark; sign
演説	エンゼツ	7040	speech; address
指し示す	サシシメス	7041	to indicate; to show; to point to
プラン	プラン	7042	
四日	ヨッカ	7043	4th day of the month
和	ワ	7044	sum
退院	タイイン	7045	leaving hospital; discharge from hospital
耳を澄ます	ミミヲスマス	7046	
奉仕	ホウシ	7047	service; ministry; attendance; church work
明らかになる	アキラカニナル	7048	
出歩く	デアルク	7049	
コーナー	コーナー	7050	
年後	ネンゴ	7051	years later
更新	コウシン	7052	renewal; update; replacement; renovation; breaking (a record)
渋い	シブイ	7053	astringent; bitter; puckery; rough; harsh; tart
法則	ホウソク	7054	law; rule
サイト	サイト	7055	
圧迫	アッパク	7056	pressure
足首	アシクビ	7057	ankle
同い年	オナイドシ	7058	
お風呂に入る	オフロニハイル	7059	
束ねる	タバネル	7060	to tie up in a bundle (e.g. straw, hair, bills, letters); to bundle; to sheathe
先行	センコウ	7061	going ahead; going first
じりじり	ジリジリ	7062	
大層	タイソウ	7063	very; extremely; exceedingly; greatly; terribly
見舞う	ミマウ	7064	to visit and comfort or console; to go to see (e.g. someone in hospital); to ask after (e.g. someone's health); to inquire after
執拗	シツヨウ	7065	
補助	ホジョ	7066	assistance; support; help; aid
後回し	アトマワシ	7067	putting off; postponing
警戒心	ケイカイシン	7068	
近頃	チカゴロ	7069	lately; recently; nowadays
息をする	イキヲスル	7070	
匹敵	ヒッテキ	7071	to be a match for; to rival; to equal; to compare with; to be equivalent to
意図的	イトテキ	7072	intentional; on purpose
現金	ゲンキン	7073	cash; ready money; money on hand; currency
労働	ロウドウ	7074	labor; labour; work
浜	ハマ	7075	beach; seashore
抱え込む	カカエコム	7076	
効果的	コウカテキ	7077	effective; successful
スムーズ	スムーズ	7078	
驚くべき	オドロクベキ	7079	
持ち歩く	モチアルク	7080	
居心地	イゴコチ	7081	feeling of a house or a room
断じて	ダンジテ	7082	absolutely; positively; decidedly
軒	ケン	7083	eaves
稀	マレ	7084	rare; seldom
言葉をかける	コトバヲカケル	7085	
押しかける	オシカケル	7086	
まぶしい	マブシイ	7087	dazzling; radiant
はなれる	ハナレル	7088	to get free (from); to be freed; to be released
なびく	ナビク	7089	to bend; to flutter; to wave
うまくやる	ウマクヤル	7090	
大きすぎる	オオキスギル	7091	
ひねる	ヒネル	7092	to twist; to wrench; to turn (a tap, switch, etc.)
立ち上る	タチノボル	7093	
かすめる	カスメル	7094	
ざわめく	ザワメク	7095	to be noisy; to be astir; to rustle; to murmur
どん	ドン	7096	porcelain bowl
悔やむ	クヤム	7097	to mourn; to lament
正直なところ	ショウジキナトコロ	7098	
呼びかけ	ヨビカケ	7099	call; appeal
踏みつける	フミツケル	7100	
表	ヒョウ	7101	table; chart; list
その度	ソノタビ	7102	
形態	ケイタイ	7103	form; shape; figure
カット	カット	7104	flaring up; burning hotly; suddenly becoming bright
名目	メイモク	7105	name; title; appellation; (something) nominal
学習	ガクシュウ	7106	learning; study
競争	キョウソウ	7107	competition; contest; rivalry; race
有力	ユウリョク	7108	influential; prominent; leading
口に入る	クチニハイル	7109	
頭に浮かぶ	アタマニウカブ	7110	
速やか	スミヤカ	7111	quick; speedy; prompt; rapid; swift
視察	シサツ	7112	inspection; observation
物語る	モノガタル	7113	to tell (a story); to give an account of (an event, experience, etc.); to relate; to recount
プライベート	プライベート	7114	
往来	オウライ	7115	coming and going; traffic
隔てる	ヘダテル	7116	to separate (by distance, time, etc.); to isolate; to partition; to divide
弱気	ヨワキ	7117	timid; weak-kneed; fainthearted
それ以来	ソレイライ	7118	
巧み	タクミ	7119	skillful; adroit; dexterous; masterful; clever; ingenious; cunning
観測	カンソク	7120	observation; survey; measurement
周	シュウ	7121	state (of the US, Australia, India, Germany, etc.); province (e.g. of Canada); county (e.g. of the UK); region (e.g. of Italy); canton; oblast
こそこそ	コソコソ	7122	sneakily; secretly; stealthily; on the sly
窓際	マドギワ	7123	at the window; by the window; next to the window
だけしか	ダケシカ	7124	
前半	ゼンハン	7125	first half
報う	ムクウ	7126	
目で追う	メデオウ	7127	
拝見	ハイケン	7128	seeing; looking at
応用	オウヨウ	7129	(practical) application; putting to practical use
見当	ケントウ	7130	estimate; guess; conjecture; aim
現時点	ゲンジテン	7131	present point (i.e. in history); at the present time
長時間	チョウジカン	7132	long time; several hours; long spell
考え直す	カンガエナオス	7133	to reconsider; to rethink; to reassess
借り	カリ	7134	borrowing; debt; loan
関節	カンセツ	7135	joint
血を流す	チヲナガス	7136	
死後	シゴ	7137	after death
週末	シュウマツ	7138	weekend
言ったって	イッタッテ	7139	
人前で	ヒトマエデ	7140	
しばらくすると	シバラクスルト	7141	
腕前	ウデマエ	7142	ability; skill; facility
休息	キュウソク	7143	rest; relief; relaxation
製造	セイゾウ	7144	manufacture; production
追いやる	オイヤル	7145	
乗り切る	ノリキル	7146	to weather (a storm, rough seas); to ride across; to sail across
それ自体	ソレジタイ	7147	
集中力	シュウチュウリョク	7148	(powers of) concentration; ability to concentrate
募集	ボシュウ	7149	recruitment; invitation; selection; advertisement; taking applications
リラックス	リラックス	7150	
絶好	ゼッコウ	7151	best; ideal; perfect
勝る	マサル	7152	to excel; to surpass; to exceed; to have an edge; to be superior; to outrival
論	ロン	7153	
不服	フフク	7154	dissatisfaction; discontent; disapproval; objection; complaint; protest; disagreement
一日中	イチニチジュウ	7155	all day long; all the day; throughout the day
百年	ヒャクネン	7156	
何時	ナンジ	7157	what time; which hour
検証	ケンショウ	7158	verification; confirmation; substantiation
現役	ゲンエキ	7159	active duty; active service
警察官	ケイサツカン	7160	police officer; policeman; policewoman
心なしか	ココロナシカ	7161	
豪快	ゴウカイ	7162	hearty; tremendous; magnificent; glorious; splendid; heroic; stirring
葛藤	カットウ	7163	conflict; complication; troubles; discord
因縁	インネン	7164	fate; destiny
苦悩	クノウ	7165	(mental) agony; anguish; suffering; distress
花が咲く	ハナガサク	7166	
心情	シンジョウ	7167	sentiment; emotions; one's feelings; one's heart
容疑者	ヨウギシャ	7168	suspect
身勝手	ミガッテ	7169	
自在	ジザイ	7170	being able to do as one pleases; doing at will
見受ける	ミウケル	7171	to catch sight of; to see; to suppose; to assume from appearances
正気	セイキ	7172	century
休暇	キュウカ	7173	holiday; vacation; day off; time off; leave; furlough
必須	ヒッス	7174	indispensable; essential; requisite; required; compulsory; necessary
治安	チアン	7175	public order; public peace; public security; law and order
祝い	イワイ	7176	congratulation; congratulations; celebration; festival
失せる	ウセル	7177	
寝床	ネドコ	7178	bed; berth; crib; cot; bedroom
好きなように	スキナヨウニ	7179	
らな	ラナ	7180	
さんか	サンカ	7181	affiliated with; under jurisdiction of; under the umbrella
のむ	ノム	7182	to drink; to swallow; to take (medicine)
年月	トシツキ	7183	months and years
寝ぼける	ネボケル	7184	to be still half asleep; to be half awake; to be not yet quite awake
眠りにつく	ネムリニツク	7185	
ありとあらゆる	アリトアラユル	7186	every conceivable; every single; every possible; all kinds of
のめる	ノメル	7187	
がん	ガン	7188	cancer
ご案内	ゴアンナイ	7189	
気がつくと	キガツクト	7190	
ちっちゃい	チッチャイ	7191	
どういたしまして	ドウイタシマシテ	7192	you're welcome; don't mention it; not at all; my pleasure
よみがえる	ヨミガエル	7193	to be resurrected; to be resuscitated; to be rehabilitated; to be revived; to be refreshed; to be restored
成り行き	ナリユキ	7194	course (of events); development; progress; outcome; result
ずーっと	ズーット	7195	continuously; the whole time; all the way; throughout
おくれる	オクレル	7196	to be late; to be delayed; to fall behind schedule; to be overdue
食いつく	クイツク	7197	
ほのか	ホノカ	7198	faint; indistinct; dim; vague; subtle; delicate
押しのける	オシノケル	7199	
電話をかける	デンワヲカケル	7200	
反響	ハンキョウ	7202	echo; reverberation
一台	イチダイ	7203	one machine; one vehicle
に取って	ニトッテ	7204	to; for; from the standpoint of; as far as ... is concerned
健全	ケンゼン	7205	healthy; sound; wholesome
お越し	オコシ	7206	
弱	ジャク	7207	a little less than; a little under; slightly fewer than
詐欺	サギ	7208	fraud; swindle; graft; cheating; trick; scam
人通り	ヒトドオリ	7209	pedestrian traffic
すねる	スネル	7210	
好都合	コウツゴウ	7211	convenient; favorable; favourable; expedient; expedience
笑い出す	ワライダス	7212	
高貴	コウキ	7213	latter period; second half; late stage; third trimester; second semester
賞	ショウ	7214	prize; award
広める	ヒロメル	7215	to spread; to propagate; to popularize; to disseminate
見合う	ミアウ	7216	
権威	ケンイ	7217	authority; power; influence; prestige
降参	コウサン	7218	surrender; submission; capitulation
知人	チジン	7219	friend; acquaintance
定義	テイギ	7220	definition
お知らせ	オシラセ	7221	
早急	ソウキュウ	7222	immediate; prompt; quick; rapid; urgent; pressing
半端	ハンパ	7223	remnant; fragment; incomplete set; incompleteness
高らか	タカラカ	7224	loud; sonorous; ringing
遮断	シャダン	7225	isolation; cut off; blockade; quarantine; interception; deprivation
おやおや	オヤオヤ	7226	
報道	ホウドウ	7227	report (of news); reporting; news; information; (media) coverage
意向	イコウ	7228	intention; inclination; mind; idea; wish; view
待ち	マチ	7229	waiting; waiting time
召し上がる	メシアガル	7230	to eat; to drink
揺る	ユル	7231	to shake; to jolt; to rock (cradle); to swing
思い描く	オモイエガク	7232	to imagine; to picture; to figure; to see
自信満々	ジシンマンマン	7233	
群がる	ムラガル	7234	to swarm; to gather
革命	カクメイ	7235	revolution
生存	セイゾン	7236	existence; being; life; survival
呼ばわり	ヨバワリ	7237	
あとから	アトカラ	7238	after; later
好ましい	コノマシイ	7239	nice; likeable; desirable
拍子抜け	ヒョウシヌケ	7240	
行列	ギョウレツ	7241	line; queue; procession; parade
無料	ムリョウ	7242	free (of charge); gratuitous
日曜	ニチヨウ	7243	Sunday
に反して	ニハンシテ	7244	
支障	シショウ	7245	obstacle; hindrance; impediment; difficulty
芽生える	メバエル	7246	
犠牲者	ギセイシャ	7247	victim (esp. someone killed); casualty
大小	ダイショウ	7248	size
凝る	コル	7249	to become stiff (of muscles)
でよ	デヨ	7250	
自分勝手	ジブンカッテ	7251	
動向	ドウコウ	7252	trend; tendency; movement; attitude
明らかにする	アキラカニスル	7253	
週間	シュウカン	7254	week
暁	アカツキ	7255	dawn; daybreak
片付く	カタヅク	7256	to be put in order; to be put to rights
気安い	キヤスイ	7257	
害	ガイ	7258	injury; harm; evil influence; damage
孤立	コリツ	7259	isolation; being alone; being friendless
探し出す	サガシダス	7260	
お連れ	オツレ	7261	
公表	コウヒョウ	7262	official announcement; proclamation
逃げ場	ニゲバ	7263	
背伸び	セノビ	7264	
本能的	ホンノウテキ	7265	
万能	バンノウ	7266	all-purpose; utility; universal
ゆらゆら	ユラユラ	7267	swaying; swinging; rocking; shaking; wavering; flickering
犠牲になる	ギセイニナル	7268	
積み重ねる	ツミカサネル	7269	to pile up; to accumulate
品物	シナモノ	7270	article; item; thing; goods; wares
疑わしい	ウタガワシイ	7271	doubtful; questionable; uncertain; disputable; suspicious
朝早く	アサハヤク	7272	
くっきり	クッキリ	7273	clearly (standing out); distinctly; sharply; boldly; in sharp relief
いたって	イタッテ	7274	very much; exceedingly; extremely
リード	リード	7275	
一人前	イチニンマエ	7276	one portion; one serving; one person
研究者	ケンキュウシャ	7277	researcher
初耳	ハツミミ	7278	
社会的	シャカイテキ	7279	social; societal; societary
涙が出る	ナミダガデル	7280	
蓄積	チクセキ	7281	accumulation; accumulate; store
外国人	ガイコクジン	7282	foreigner; foreign citizen; foreign national; alien; non-Japanese
仕事中	シゴトチュウ	7283	at work; in the midst of work; working
直	ジキ	7284	soon; in a moment; before long; shortly
いつにない	イツニナイ	7285	
つながり	ツナガリ	7286	connection; link; relationship
ちと	チト	7287	
荒らす	アラス	7288	to lay waste; to devastate; to damage
目をつける	メヲツケル	7289	
ひっくり返る	ヒックリカエル	7290	to be overturned; to be reversed; to turn over; to capsize
良いこと	ヨイコト	7291	
お供	オトモ	7292	
すぐそば	スグソバ	7293	right beside; close to; nearby
あっけない	アッケナイ	7294	
までも	マデモ	7295	to (an extent); up to; so far as; even
つかう	ツカウ	7296	to use (a tool, method, etc.); to make use of; to put to use
引き込む	ヒキコム	7297	
決着をつける	ケッチャクヲツケル	7298	
長いこと	ナガイコト	7299	
いやがる	イヤガル	7300	to appear uncomfortable (with); to seem to hate; to express dislike
云々	ウンヌン	7303	and so on; and so forth; et cetera; and such; and the like
作者	サクシャ	7304	creator (of a work); author; writer; artist; composer; playwright; dramatist
手を入れる	テヲイレル	7305	
猶予	ユウヨ	7306	postponement; deferment; extension (of time)
荒々しい	アラアラシイ	7307	rough; wild; rude; harsh; gruff; violent
元通り	モトドオリ	7308	
白状	ハクジョウ	7309	confession
生々しい	ナマナマシイ	7310	vivid (memory, description, etc.); fresh; graphic; raw; true-to-life; first-hand (experience)
飛び交う	トビカウ	7311	to fly about; to flutter about; to flit about; to fly past each other
所持	ショジ	7312	possession; having (on one's person); carrying (with one)
援助	エンジョ	7313	assistance; aid; support
断定	ダンテイ	7314	conclusion; decision; judgement; declaration
差別	サベツ	7315	distinction; differentiation; discrimination
事項	ジコウ	7316	matter; item; facts
第三者	ダイサンシャ	7317	third party; third person; outsider; disinterested person
欠く	カク	7318	to chip; to nick; to break; to crack
選挙	センキョ	7319	election
沿い	ゾイ	7320	along (a river, coast, railway, etc.); on (e.g. a street)
律儀	リチギ	7321	
計	ケイ	7322	plan
危	キ	7323	spirit; mind; heart
中心とする	チュウシントスル	7324	
アウト	アウト	7325	
成分	セイブン	7326	ingredient; component; composition
有名人	ユウメイジン	7327	celebrity; famous person; public figure; big name
極力	キョクリョク	7328	to the utmost; to the best of one's ability
心理	シンリ	7329	state of mind; mentality; psychology
惑わす	マドワス	7330	to bewilder; to perplex; to puzzle; to delude; to mislead; to deceive
囲う	カコウ	7331	to enclose; to surround; to encircle; to fence; to wall in
人間関係	ニンゲンカンケイ	7332	human relations; personal relationships
採る	トル	7333	to adopt (a method, proposal, etc.); to take (a measure, course of action, etc.); to decide on
慰め	ナグサメ	7334	
すっぽり	スッポリ	7335	entirely; completely
おさまる	オサマル	7336	to die down (storm, anger, conflict, etc.); to calm down; to cool off; to abate; to be settled; to be brought under control
切り上げる	キリアゲル	7337	
主な	オモナ	7338	
恩人	オンジン	7339	benefactor; patron; person to whom one owes a great deal; person to whom one is (deeply) indebted
思い知らす	オモイシラス	7340	
建築	ケンチク	7341	construction; architecture (of buildings)
隠し事	カクシゴト	7342	
話題になる	ワダイニナル	7343	
畳む	タタム	7344	to fold (clothes, umbrella)
出張	シュッチョウ	7345	business trip; official trip
ずる	ズル	7346	
駆使	クシ	7347	using freely; making full use of; having a good command of
連なる	ツラナル	7348	to extend; to stretch out; to stand in a row
読み	ヨミ	7349	reading
後ろめたい	ウシロメタイ	7350	
独身	ドクシン	7351	unmarried; single
痛々しい	イタイタシイ	7352	
住居	ジュウキョ	7353	dwelling; house; residence; address
うろうろ	ウロウロ	7354	restlessly; aimlessly; without purpose
水分	スイブン	7355	water; liquid; fluid; moisture; humidity; sap; juice
短時間	タンジカン	7356	short time
焦点	ショウテン	7357	focus; focal point
原理	ゲンリ	7358	principle; theory; fundamental truth
仮定	カテイ	7359	assumption; supposition; hypothesis
放題	ホウダイ	7360	(doing) as one pleases; to one's heart's content; letting (something) go unchecked; leaving uncontrolled; leaving (something) to take its own course
衰える	オトロエル	7361	to become weak; to decline; to wear; to abate; to decay; to wither; to waste away
延長	エンチョウ	7362	extension; elongation; prolongation; lengthening
切り取る	キリトル	7363	
突き放す	ツキハナス	7364	
せねば	セネバ	7365	
しなやか	シナヤカ	7366	supple; flexible; elastic
言い合う	イイアウ	7367	
身を引く	ミヲヒク	7368	
当	トウ	7369	party (political)
割合	ワリアイ	7370	rate; ratio; percentage; proportion
手を合わせる	テヲアワセル	7371	
破棄	ハキ	7372	tearing up and discarding (e.g. documents); destruction
来客	ライキャク	7373	visitor; caller
両側	リョウガワ	7374	both sides
記述	キジュツ	7375	description; account
見解	ケンカイ	7376	opinion; point of view
合	ゴウ	7377	gō; traditional unit of volume, approx. 180 ml
席に着く	セキニツク	7378	
初めは	ハジメハ	7379	
罵倒	バトウ	7380	
を回って	ヲメグッテ	7381	
適する	テキスル	7382	to fit; to suit
仲がいい	ナカガイイ	7383	
持ちかける	モチカケル	7384	
ごちそうさま	ゴチソウサマ	7385	thank you (for the meal); that was a delicious meal
死ぬほど	シヌホド	7386	
お出かけ	オデカケ	7387	about to start out; just about to leave or go out
ためになる	タメニナル	7388	
まことに	マコトニ	7389	really; truly; very; extremely; exceedingly; sincerely
いいかい	イイカイ	7390	
第１	ダイイチ	7391	first; foremost; number one
かじる	カジル	7392	
のしかかる	ノシカカル	7393	
立ち入る	タチイル	7394	
聞きつける	キキツケル	7395	
お使い	オツカイ	7396	errand; mission; going on an errand
はる	ハル	7397	
そうかい	ソウカイ	7398	
取り巻く	トリマク	7399	to surround; to encircle; to enclose
納得がいく	ナットクガイク	7400	
入る	イル	7401	to enter; to go in; to get in; to come in
的	マト	7402	-ical; -ive; -al; -ic; -y
笑	ワラ	7404	laugh; laughter
しんどい	シンドイ	7405	tired; frazzled
関与	カンヨ	7406	participation; taking part in; participating in; being concerned in
謙遜	ケンソン	7407	modesty; humility; being humble
当面	トウメン	7408	current; urgent; pressing; impending
ぐっすり	グッスリ	7409	soundly (sleeping); fast (asleep)
足す	タス	7410	to add (numbers)
交わる	マジワル	7411	to cross; to intersect; to join; to meet
案じる	アンジル	7412	
寝不足	ネブソク	7413	lack of sleep; insufficient sleep
看病	カンビョウ	7414	nursing (a patient)
自動的	ジドウテキ	7415	automatic
危機感	キキカン	7416	
間柄	アイダガラ	7417	relationship; relation; terms (good, friendly, etc.)
偽る	イツワル	7418	to lie; to pretend; to feign; to falsify
すべ	スベ	7419	
分類	ブンルイ	7420	classification; categorization; sorting
特権	トッケン	7421	privilege; special right
委ねる	ユダネル	7422	to entrust (a matter) to; to leave to
規則	キソク	7423	rule; regulation
岸	キシ	7424	bank; coast; shore
定まる	サダマル	7425	to become settled; to be fixed
推す	オス	7426	to recommend; to endorse (e.g. a candidate); to nominate; to support; to back
連れ戻す	ツレモドス	7427	
少数	ショウスウ	7428	small number; few; minority
生前	セイゼン	7429	while alive; during one's lifetime
寝起き	ネオキ	7430	
次から次へと	ツギカラツギヘト	7431	
開き直る	ヒラキナオル	7432	to become defiant; to fight back; to turn upon; to take the offensive
恩恵	オンケイ	7433	grace; favor; favour; blessing; benefit
返し	カエシ	7434	
焦げる	コゲル	7435	to burn; to scorch; to char; to singe
空になる	カラニナル	7436	
付き添う	ツキソウ	7437	
支え	ササエ	7438	
規定	キテイ	7439	stipulation; prescription; provision; regulation; rule
競う	キソウ	7440	to compete; to contend; to vie; to contest
どっと	ドット	7441	bursting out (laughter); breaking out (applause); roaring; whooping
過ち	アヤマチ	7442	fault; error; indiscretion; faux pas
引き換え	ヒキカエ	7443	exchange; conversion
そそくさ	ソソクサ	7444	
格闘	カクトウ	7445	(hand-to-hand) fight; grapple; scuffle; tussle
つかまえる	ツカマエル	7446	to catch; to capture; to arrest; to seize; to restrain
思いがけない	オモイガケナイ	7447	unexpected; contrary to expectations; by chance; casual
脅し	オドシ	7448	threat
異論	イロン	7449	different opinion; objection
記載	キサイ	7450	mention (in a document); record; entry; statement; listing
清潔	セイケツ	7451	clean; hygienic; sanitary
占領	センリョウ	7452	occupying; having (an area) all to oneself
ポジション	ポジション	7453	
勤務	キンム	7454	service; duty; work
晴らす	ハラス	7455	to dispel; to clear away; to refresh (oneself)
大部分	ダイブブン	7456	most part; greater part; majority
損ねる	ソコネル	7457	to harm; to hurt; to injure; to wreck
うんと	ウント	7458	
徹する	テッスル	7459	to penetrate; to sink in
就く	ツク	7460	to take (seat, position, course, office, etc.); to assume; to be hired; to be employed
正真正銘	ショウシンショウメイ	7461	
こだわり	コダワリ	7462	
予告	ヨコク	7463	(advance) notice; preliminary announcement; warning
重苦しい	オモクルシイ	7464	heavy (feeling, etc.); gloomy (weather, etc.); oppressive (atmosphere, etc.); stifling; strained
鼻歌	ハナウタ	7465	
がかる	ガカル	7466	
見入る	ミイル	7467	to gaze (at); to stare intently (at); to look fixedly (at); to fix one's eyes (on)
著しい	イチジルシイ	7468	striking; remarkable; considerable
北海道	ホッカイドウ	7469	Hokkaido (island, prefectural-level administrative unit)
頂上	チョウジョウ	7470	top; summit; peak
踏まえる	フマエル	7471	to be based on; to take into account; to build upon; to have origin in
力を合わせる	チカラヲアワセル	7472	
入れ替える	イレカエル	7473	
臨時	リンジ	7474	temporary; provisional; interim
直接的	チョクセツテキ	7475	direct
見とれる	ミトレル	7476	
強がる	ツヨガル	7477	
かりる	カリル	7478	to borrow
たくましい	タクマシイ	7479	burly; strong; sturdy
よりによって	ヨリニヨッテ	7480	
とぶ	トブ	7481	to fly; to soar
どちらかというと	ドチラカトイウト	7482	if anything; if pushed I'd say; if I had to say
ちょうどよい	チョウドヨイ	7483	
ロシア	ロシア	7484	
のんき	ノンキ	7485	easy; easygoing; carefree; happy-go-lucky; optimistic; leisurely; careless; thoughtless
しかける	シカケル	7486	to start; to begin; to commence
そのうちに	ソノウチニ	7487	before very long; soon; someday; one of these days; sooner or later
はな	ハナ	7488	flower; blossom; bloom; petal
あげく	アゲク	7489	after (a long process); at the end of
せいにする	セイニスル	7490	
がかり	ガカリ	7491	
をおいて	ヲオイテ	7493	
打ち消す	ウチケス	7494	to deny; to contradict
ゆる	ユル	7495	
すくう	スクウ	7496	to scoop; to ladle out
仕方のない	シカタノナイ	7497	
申し込む	モウシコム	7498	to apply for; to make an application; to propose (marriage); to offer (mediation); to make an overture (of peace); to challenge; to lodge (objections); to request (an interview); to subscribe for; to book; to reserve
一息つく	ヒトイキツク	7499	
汗をかく	アセヲカク	7500	
家	ヤ	7501	house; residence; dwelling; home
色	ショク	7502	colour; color; hue; tint; tinge; shade
葬る	ホウムル	7504	to bury; to inter; to entomb
物足りない	モノタリナイ	7505	unsatisfied; unsatisfactory; insufficient in some way; lacking something
気を取られる	キヲトラレル	7506	
この通り	コノトオリ	7507	
憂い	ウレイ	7508	sorrow; grief; anguish; distress
影響力	エイキョウリョク	7509	influence; clout; leverage
顔見知り	カオミシリ	7510	acquaintance
強固	キョウコ	7511	firm; strong; solid; stable
ついて来る	ツイテクル	7512	to follow; to come along (with); to accompany; to tag along
お伺い	オウカガイ	7513	
背が高い	セガタカイ	7514	tall (of a person)
年代	ネンダイ	7515	age; era; period; date
参考	サンコウ	7516	reference; consultation
口を出す	クチヲダス	7517	
閉鎖	ヘイサ	7518	closing; closure
認定	ニンテイ	7519	authorization; authorisation; acknowledgment; acknowledgement; certification; recognition
公平	コウヘイ	7520	fairness; impartiality; justice; objectivity
やり過ごす	ヤリスゴス	7521	to let (something or someone) go past
政治的	セイジテキ	7522	political
アルコール	アルコール	7523	
明	メイ	7524	niece
写真を撮る	シャシンヲトル	7525	
項目	コウモク	7526	item; heading; category; clause
年生	ネンセイ	7527	nth-year student; nth-year pupil
図星	ズボシ	7528	
活気	カッキ	7529	energy; vigour; vigor; liveliness; spirit; life; animation
辛抱	シンボウ	7530	patience; endurance; perseverance
見破る	ミヤブル	7531	to see through (a plot, lie, etc.); to penetrate into; to discover; to find out
潔い	イサギヨイ	7532	gracious (defeat, apology, etc.); graceful; honourable (e.g. death); noble; gallant; brave; manly; sportsmanlike
細か	コマカ	7533	small; fine; detailed; stingy
今週	コンシュウ	7534	this week
事柄	コトガラ	7535	matter; thing; affair; circumstance
迅速	ジンソク	7536	(very) quick; rapid; swift; speedy; prompt; expeditious
代金	ダイキン	7537	price; cost; charge; payment; bill; fee
価格	カカク	7538	price; value; cost
無性に	ムショウニ	7539	very much; intensely; overwhelmingly; excessively; irresistibly; without any obvious reason
連れ込む	ツレコム	7540	
直ちに	タダチニ	7541	at once; immediately; right away; without delay
言葉遣い	コトバヅカイ	7542	speech; expression; wording; language
盛ん	サカン	7543	prosperous; flourishing; thriving; successful
単独	タンドク	7544	sole; single; solo
合理的	ゴウリテキ	7545	rational; reasonable; logical
判定	ハンテイ	7546	judgement; judgment; decision; ruling; finding; adjudication; verdict; call
人より	ヒトヨリ	7547	
旨	ムネ	7548	principle; aim; main purpose; central part; pillar
詮索	センサク	7549	
念を押す	ネンヲオス	7550	
片っ端から	カタッパシカラ	7551	
妥協	ダキョウ	7552	compromise; giving in
溶け込む	トケコム	7553	to melt into; to dissolve into; to merge into
所在	ショザイ	7554	location (of); position; whereabouts; place where one is
数年前	スウネンマエ	7555	a few years ago; some years back
安易	アンイ	7556	easy; simple
遂行	スイコウ	7557	accomplishment; execution
汲む	クム	7558	to draw (water); to ladle; to dip up; to scoop up; to pump
電源	デンゲン	7559	source of electricity; electrical power
店舗	テンポ	7560	shop; store; establishment; restaurant
責任を取る	セキニンヲトル	7561	
持て余す	モテアマス	7562	
かん	カン	7563	
安	ヤス	7564	
食い止める	クイトメル	7565	to check; to hold back; to keep at bay; to stop; to prevent; to stem; to curb; to halt
生死	セイシ	7566	life and death; life or death
恋しい	コイシイ	7567	yearned for; longed for; missed
素質	ソシツ	7568	makings (of); aptitude; talent; qualities
